City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,st. john's,47.5649,-52.7093,42.28,76.0,75.0,20.71,CA,1702921315.0
1,badger,64.8,-147.5333,10.36,88.0,100.0,0.0,US,1702921568.0
2,ulsteinvik,62.3432,5.8487,46.53,87.0,100.0,21.0,NO,1702921568.0
3,blackmans bay,-43.0167,147.3167,57.33,94.0,99.0,2.26,AU,1702921834.0
4,altagracia de orituco,9.8601,-66.3814,92.16,40.0,24.0,4.38,VE,1702921834.0
5,lihue,21.9789,-159.3672,71.19,82.0,75.0,21.85,US,1702921629.0
6,adamstown,-25.066,-130.1015,72.91,80.0,100.0,16.71,PN,1702921835.0
7,albany,42.6001,-73.9662,50.41,91.0,100.0,12.41,US,1702921795.0
8,sisimiut,66.9395,-53.6735,13.42,79.0,100.0,38.59,GL,1702921505.0
9,saldanha,-33.0117,17.9442,66.25,74.0,34.0,26.33,ZA,1702921505.0
10,avarua,-21.2078,-159.775,77.05,88.0,75.0,16.11,CK,1702921506.0
11,port-aux-francais,-49.35,70.2167,43.48,91.0,100.0,35.23,TF,1702921506.0
12,taiohae,,,,,,,,
13,ribeira grande,38.5167,-28.7,61.2,82.0,75.0,17.0,PT,1702921506.0
14,longyearbyen,78.2186,15.6401,24.64,68.0,20.0,18.41,SJ,1702921507.0
15,sur,22.5667,59.5289,71.56,49.0,0.0,5.35,OM,1702921507.0
16,ust-nera,64.5667,143.2,-35.82,98.0,85.0,3.31,RU,1702921508.0
17,tobelo,1.7284,128.0095,79.77,84.0,71.0,2.53,ID,1702921508.0
18,xunchang,28.4543,104.715,38.71,69.0,17.0,1.03,CN,1702921508.0
19,pisco,-13.7,-76.2167,72.01,83.0,100.0,8.05,PE,1702921509.0
20,ust-tsilma,65.441,52.1498,11.37,94.0,100.0,7.85,RU,1702921509.0
21,sinabang,2.4803,96.3801,79.34,83.0,97.0,3.27,ID,1702921510.0
22,alice springs,-23.7,133.8833,81.82,41.0,78.0,19.19,AU,1702921510.0
23,marsh harbour,26.5412,-77.0636,70.36,62.0,0.0,16.78,BS,1702921510.0
24,rio gallegos,-51.6226,-69.2181,68.05,37.0,0.0,13.8,AR,1702921511.0
25,waitangi,-43.9535,-176.5597,55.81,89.0,14.0,1.01,NZ,1702921511.0
26,georgetown,5.4112,100.3354,80.53,92.0,20.0,3.44,MY,1702921235.0
27,malvik,63.4333,10.6833,38.79,75.0,0.0,9.22,NO,1702921450.0
28,kabinda,-6.1333,24.4833,69.94,94.0,96.0,2.48,CD,1702921512.0
29,inongo,-1.95,18.2667,74.43,88.0,97.0,5.99,CD,1702921512.0
30,punta arenas,-53.15,-70.9167,60.82,58.0,0.0,26.46,CL,1702921842.0
31,hawaiian paradise park,19.5933,-154.9731,67.89,93.0,100.0,9.22,US,1702921842.0
32,papatowai,-46.5619,169.4708,50.81,74.0,100.0,2.66,NZ,1702921843.0
33,college,64.8569,-147.8028,10.45,86.0,100.0,0.0,US,1702921843.0
34,pacific grove,36.6177,-121.9166,62.1,92.0,100.0,20.0,US,1702921474.0
